Name;Year;ConflictSide;AllStrength;AllLosses;Ratio
Battle of Świecino;1462;0;2700;1050;0.3888888888888888888
Battle of St. Quentin;1557;1;26000;10000;0.3846153846153846153
Battle of Auldearn;1645;1;3900;1500;0.3846153846153846153
Battle of Casteldelfino;1744;0;5000;1900;0.3800000000000000000
Battle of Ballymore-Eustace;1798;1;45;17;0.3777777777777777777
Siege of Pensacola;1781;1;3500;1320;0.3771428571428571428
Battle of Wittstock;1636;1;18600;7000;0.3763440860215053763
Battle of Sempach;1386;1;4000;1500;0.3750000000000000000
Battle of Baugé;1421;1;4000;1500;0.3750000000000000000
Battle of Freiburg;1644;0;20000;7500;0.3750000000000000000
Battle of Piperdean;1436;1;4000;1500;0.3750000000000000000
Battle of Prostken;1656;0;4000;1500;0.3750000000000000000
Battle of Glen Shiel;1719;1;1000;374;0.3740000000000000000
Battle of Roundway Down;1643;0;4300;1600;0.3720930232558139534
Battle of Płowce
Part of Polish-Teutonic War (1326–1332);1331;1;7000;2600;0.3714285714285714285
Battle of Mookerheyde;1574;0;8100;3000;0.3703703703703703703
Battle of Ravenna;1512;0;23000;8500;0.3695652173913043478
Battle of Trebbia (1799);1799;0;17000;6250;0.3676470588235294117
Battle of Zatoka Świeża;1463;1;1500;550;0.3666666666666666666
Battle of Kulikovo;1380;0;55000;20000;0.3636363636363636363
First Siege of Ulsan;1597;0;55500;20000;0.3603603603603603603
Battle of Fleurus;1622;0;14000;5000;0.3571428571428571428
Battle of Bloody Creek;1711;0;70;25;0.3571428571428571428
Battle of Zorndorf;1758;0;36000;12800;0.3555555555555555555
Battle of Novara;1513;0;21200;7500;0.3537735849056603773
Battle of Machias;1775;0;40;14;0.3500000000000000000
Battle of Baia;1467;1;20000;7000;0.3500000000000000000
Battle of Ridaniya;1517;1;20000;7000;0.3500000000000000000
Battle of Nieuwpoort;1600;1;8900;3100;0.3483146067415730337
Battle of Prague;1648;1;2000;694;0.3470000000000000000
Battle of Krtsanisi;1795;1;37500;13000;0.3466666666666666666
Battle of Bunker Hill;1775;1;3000;1040;0.3466666666666666666
Battle of Ancrum Moor;1545;1;5200;1800;0.3461538461538461538
Battle of Dreux;1562;1;13000;4500;0.3461538461538461538
Battle of La Motta;1513;0;13000;4500;0.3461538461538461538
Siege of Acre;1799;1;13000;4500;0.3461538461538461538
Battle of Fort Cumberland;1776;1;200;69;0.3450000000000000000
Battle of Flodden;1513;1;32000;11000;0.3437500000000000000
Siege of Jinju;1592;0;30000;10300;0.3433333333333333333
Siege of 's-Hertogenbosch;1629;0;7000;2400;0.3428571428571428571
Battle of Brier Creek;1779;0;1100;377;0.3427272727272727272
Battle of Płowce
