Name;Year;TotalStrength
Battle of Piperdean;1436;6500
Battle of Atoleiros;1384;6400
Battle of Otterburn;1388;6100
Battle of Guararapes;1649;6100
Battle of Maidstone;1648;6000
Battle of Koronowo;1410;6000
Battle of Ankara;1402;6000
Battle of San Romano;1432;6000
Battle of Hořice;1423;6000
Siege of Uehara;1541;6000
Siege of Fredriksten;1718;6000
Battle of Brentford;1642;5900
Battle of Fort Niagara;1759;5786
Battle of Princeton;1777;5700
Siege of Ryūgasaki;1545;5700
Battle of Valverde;1862;5600
Battle of La Roche-Derrien;1347;5500
Battle of the Slaak;1631;5500
Battles of Lexington and Concord;1775;5460
Battle of Auldearn;1645;5450
Battle of Sempach;1386;5400
Battle of Bunker Hill;1775;5400
Battle of Wallhof;1626;5100
Battle of Sablat;1619;5000
First Battle of Guararapes;1648;5000
Battle of Boroughbridge;1322;5000
Battle of Hadden Rig;1542;5000
Battle of Bunclody;1798;5000
Battle of Prestonpans;1745;4800
Battle of Dahlen;1568;4800
Battle of Pell's Point;1776;4750
Battle of Hill of Tara;1798;4700
Battle of Antrim;1798;4700
Battle of Świecino;1462;4700
Battle of Stephaniana;1344;4600
Battle of Alford;1645;4575
Battle of Aberdeen;1644;4544
Battle of Inverlochy;1645;4500
Battle of Bound Brook;1777;4500
Battle of Newtown;1779;4450
Battle of Preston;1715;4450
Battle of Quebec;1690;4306
Battle of Gerberoy;1435;4200
Siege of Nagakubo;1543;4200
Battle of Eutaw Springs;1781;4200
Battle of Cajamarca;1532;4168
Siege of Kuwabara;1542;4100
Battle of Baesweiler;1371;4100
Battle of Fort Oswego;1756;4100
Battle of Visby;1361;4000
Siege of Kojinyama;1544;4000
Frisian peasant rebellion;1515;4000
Battle of Carberry Hill;1567;4000
Battle of Trenton;1776;3900
Battle of Loudoun Hill;1307;3600
Siege of Jasna Góra;1655;3510
Battle of Oosterweel;1567;3500
Battle of Cadsand;1337;3500
Battle of Bryn Glas;1402;3500
Battle of Hexham;1464;3500
Battle of Bennington;1777;3450
Battle of Wofla;1542;3333
Battle of Mühldorf;1322;3200
Battle of Puná;1531;3168
Battle of Marstrand;1677;3100
Battle of Kolding;1658;3000
Capture of Bahia;1624;3000
Siege of Haengju Fortress;1593;3000
Battle of Burton Bridge;1322;3000
Battle of Trois-Rivières;1776;3000
Battle of Quebec;1775;3000
Battle of Alamance;1771;3000
Braddock Expedition;1755;2991
Siege of Fort St. Jean;1775;2750
Battle of Fort Beauséjour;1755;2732
Battle of Deutschbrod;1422;2650
Battle of Fort Ligonier;1758;2590
Battle of Wandiwash;1760;2550
Battle of Moore's Creek Bridge;1776;2550
Battle of Cowpens;1781;2550
Battle of Valcour Island;1776;2500
Battle of Mabila;1540;2500
Battle of Corrichie;1562;2500
Battle of Sudomĕř;1420;2400
Battle of Kepaniwai;1790;2400
Battle of Elmina;1637;2330
Battle of Muizenberg;1795;2270
Great Swamp Fight;1675;2150
Capture of Luanda;1641;2145
Battle of Imafuku;1614;2100
Battle of the Wabash;1791;2100
Battle of Turnhout;1789;2000
Battle of Brier Creek;1779;2000
Battle of Kings Mountain;1780;2000
Battle of Dryfe Sands;1593;2000
Battle on the Zuiderzee;1573;2000
Siege of Breda (1637);1637;2000
Battle of Tabocas;1645;2000
Battle of Chalagan;1412;2000
Battle of Lunalonge;1349;2000
Battle of Zatoka Świeża;1463;2000
Battle of Baçente;1542;1900
Battle of Mynydd Hyddgen;1401;1850
Battle of Glen Shiel;1719;1850
Battle of Groton Heights;1781;1840
Battle of Carlow;1798;1700
Battle of Picotin;1316;1700
Battle of Fort Charlotte;1780;1604
Battle of Three Rocks;1798;1600
Raid on the Medway;1667;1500
Capture of Fort Bute;1779;1453
Battle of Elmina;1625;1450
Battle of Baton Rouge;1779;1350
Battle of St. Louis;1780;1300
Battle of Oriskany;1777;1300
Battle of Chesma;1770;1300
Battle of Diu;1509;1300
Battle of Great Bridge;1775;1260
Battle of Fort Duquesne;1758;1250
Battle of Crooked Billet;1778;1250
Battle of Naas;1798;1250
Battle of Ballyellis;1798;1200
Battle of Mobile;1781;1200
Battle of Las Salinas;1538;1200
Battle of La Naval de Manila;1646;1200
Battle of Saint-Pol-de-Léon;1346;1180
Battle of Oulart Hill;1798;1130
Battle of the Rice Boats;1776;1050
Battle of Kettle Creek;1779;1025
Battle of Alligator Bridge;1778;1000
Battle of Fort Necessity;1754;1000
Battle of Kherlen;1409;1000
